chunks,samples,fit_time,predict_time
1,2000,279.696,55.930
1,4000,988.924,109.159
1,6000,2153.354,174.729
1,2000,282.415,56.416
1,4000,995.716,113.062
1,6000,2187.190,169.717
2,2000,141.999,27.616
2,4000,499.545,55.041
2,6000,1082.956,84.128
2,2000,142.727,27.716
2,4000,504.012,55.803
2,6000,1079.797,82.833
4,2000,74.062,14.414
4,4000,255.262,29.159
4,6000,549.583,42.757
4,2000,74.167,14.333
4,4000,255.297,28.284
4,6000,545.640,42.455
8,2000,40.430,7.754
8,4000,133.620,15.096
