chunks,samples,memory_usage,fit_time,predict_time,r_squared
80,8000,49117.484375,59.287,17.823,0.951
80,8000,45185.492188,55.081,18.836,0.968
120,8000,40610.636719,58.828,18.641,0.971
120,8000,40457.703125,57.137,18.021,0.971
160,8000,37323.105469,60.011,19.131,0.962
160,8000,34618.144531,59.277,19.651,0.963
200,8000,33338.78125,59.417,20.485,0.966
200,8000,34126.996094,59.942,20.470,0.947
240,8000,33290.449219,58.502,19.782,0.968
240,8000,34847.019531,59.177,19.891,0.948
