chunks,samples,memory_usage,fit_time,predict_time,r_squared
32,8000,67576.933594,64.784,19.467,0.936
32,8000,69638.664062,60.827,16.702,0.937
48,8000,56228.492188,60.541,16.227,0.972
48,8000,59509.832031,59.228,15.652,0.944
64,8000,52273.605469,63.813,18.502,0.960
64,8000,51742.886719,64.754,17.350,0.950
72,8000,49747.222656,63.554,17.851,0.972
72,8000,50781.585938,62.903,17.360,0.899
