chunks,samples,memory_usage,fit_time,predict_time,r_squared
1,2000,22147.957031,238.009,74.146,-0.051
1,4000,42088.878906,453.096,150.113,-0.006
1,6000,62088.300781,691.967,225.039,-0.011
1,8000,82029.394531,944.940,310.668,-0.005
1,2000,22151.878906,232.504,78.101,-0.047
1,4000,42085.796875,460.014,150.987,-0.009
1,6000,62099.359375,704.707,233.625,-0.011
1,8000,82007.300781,935.076,298.137,-0.002
20,2000,21413.730469,25.900,6.715,-0.016
20,4000,39911.265625,41.614,10.836,-0.020
20,6000,60179.683594,55.513,16.686,-0.064
20,8000,78721.417969,75.499,22.593,-0.005
20,2000,21464.296875,30.454,6.446,-0.019
20,4000,39224.46875,40.910,11.579,-0.023
20,6000,62295.660156,55.312,16.516,-0.047
20,8000,81214.390625,70.649,20.826,-0.005
40,2000,18711.15625,25.536,6.725,-0.007
40,4000,34150.386719,46.444,11.214,-0.017
40,6000,53975.640625,55.822,14.784,-0.013
40,8000,69408.867188,68.337,20.700,-0.012
40,2000,18651.085938,25.737,6.580,-0.006
40,4000,34567.390625,38.550,11.109,-0.016
40,6000,52807.816406,59.286,15.985,-0.013
40,8000,69442.265625,72.493,20.423,-0.011
80,2000,14514.871094,28.018,8.358,-0.006
80,4000,23792.683594,41.956,11.615,-0.004
80,6000,35559.710938,62.743,14.710,-0.014
80,8000,46145.007812,64.210,19.464,-0.003
80,2000,13743.960938,28.532,8.290,-0.006
80,4000,23890.707031,41.791,11.650,-0.008
80,6000,34723.328125,57.401,17.915,-0.014
80,8000,47189.9375,67.503,19.479,-0.003
120,2000,13255.035156,29.807,9.574,-3.650
120,4000,22460.453125,47.116,12.618,-0.214
120,6000,30836.945312,63.940,21.414,-0.004
120,8000,40006.308594,70.293,18.697,-0.006
120,2000,13568.152344,33.973,8.747,-4.454
120,4000,21415.441406,43.312,12.199,-0.950
120,6000,29592.101562,66.278,16.841,-0.004
120,8000,37894.277344,70.763,19.815,-0.002
160,2000,12830.988281,40.712,10.043,-0.007
160,4000,20508.175781,49.018,17.421,-0.007
160,6000,29447.855469,58.209,16.841,-0.006
160,8000,35276.355469,73.554,19.727,-0.004
160,2000,12925.558594,39.007,10.167,-0.005
160,4000,19983.261719,58.553,13.531,-0.008
160,6000,28872.894531,61.255,17.219,-0.005
160,8000,34855.375,75.565,20.939,-0.005
200,2000,13176.796875,46.910,16.368,-0.027
200,4000,20478.800781,55.588,15.835,-0.013
200,6000,28484.90625,65.944,20.286,-0.010
200,8000,33340.558594,88.498,20.854,-0.001
200,2000,12647.675781,41.303,12.308,-4.892
200,4000,19848.515625,59.844,17.042,-0.013
200,6000,27425.027344,75.377,19.665,-0.010
200,8000,32966.527344,80.345,22.459,-0.005
240,2000,11929.472656,46.307,13.029,-0.002
240,4000,19689.335938,63.077,15.974,-0.462
240,6000,25486.574219,70.660,19.748,-0.010
240,8000,33100.867188,93.971,23.242,-0.009
240,2000,11883.324219,52.670,14.688,-0.020
240,4000,20945.769531,63.528,19.989,0.002
240,6000,26595.304688,68.947,22.535,-0.008
240,8000,31942.429688,81.634,22.262,-0.002
280,2000,11407.449219,61.321,12.858,-1.276
280,4000,20513.527344,68.048,17.745,-0.416
280,6000,24817.808594,77.266,23.899,-0.023
280,8000,32111.148438,89.259,23.010,-0.014
280,2000,11544.726562,59.154,14.895,-0.015
280,4000,22043.714844,79.972,17.937,-0.019
280,6000,24416.726562,78.696,20.565,-0.016
280,8000,32270.671875,97.825,24.029,-0.010
320,2000,11292.425781,67.466,15.633,-1.530
320,4000,19846.402344,84.261,18.962,-0.021
320,6000,28180.421875,87.257,24.057,-0.004
320,8000,32046.542969,102.375,25.133,-0.001
320,2000,11127.242188,61.630,15.495,-3.261
320,4000,19582.253906,75.960,18.401,-0.025
320,6000,29123.339844,85.728,23.678,-0.004
