chunks,samples,memory_usage,fit_time,predict_time,r_squared
10,2000,22029.074219,54.835,16.559,-0.092
10,4000,34766.027344,106.760,34.514,-0.010
10,6000,50955.871094,163.846,51.656,-0.006
10,8000,68445.90625,210.129,67.292,0.001
10,2000,18021.503906,53.561,15.924,-0.120
10,4000,34817.6875,106.415,32.365,-0.028
10,6000,51287.648438,165.156,50.273,-0.008
10,8000,68514.792969,202.182,63.282,-0.001
20,2000,12487.519531,48.171,15.593,-0.018
20,4000,25272.730469,89.649,29.296,-0.021
20,6000,35622.167969,136.745,45.533,-0.013
20,8000,49227.6875,182.540,50.908,-0.006
20,2000,11957.226562,47.844,14.318,-0.018
20,4000,24070.796875,93.699,28.568,-0.020
20,6000,35282.867188,130.848,43.860,-0.057
20,8000,46410.734375,176.176,51.353,-0.006
40,2000,8344.019531,48.271,15.155,-0.528
40,4000,17477.644531,87.583,29.009,-0.017
40,6000,24946.300781,129.719,42.892,-0.014
40,8000,33920.195312,172.594,52.586,-0.013
40,2000,8995.785156,48.262,13.511,-0.015
40,4000,17811.734375,80.256,28.411,-0.018
40,6000,24628.472656,128.154,42.682,-0.013
40,8000,33085.308594,174.175,54.871,-0.016
80,2000,6346.28125,50.692,13.819,-0.007
80,4000,13405.394531,92.892,27.241,-0.006
80,6000,16748.3125,130.478,40.881,-0.013
80,8000,25000.800781,162.495,48.060,-0.004
80,2000,6075.777344,51.213,13.639,-0.004
80,4000,13409.191406,89.622,27.467,-0.006
80,6000,20313.945312,133.600,43.572,-0.013
80,8000,27434.65625,160.446,52.922,-0.004
120,2000,6120.253906,47.537,15.011,-4.410
120,4000,11528.835938,86.512,28.212,-0.221
120,6000,16403.628906,131.928,44.857,-0.003
120,8000,21986.589844,181.944,54.266,-0.004
120,2000,6249.226562,46.980,15.118,-4.539
120,4000,11270.730469,92.823,27.896,-0.028
120,6000,16130.113281,135.320,44.190,-0.003
120,8000,20913.820312,175.071,57.878,-0.006
160,2000,5732.71875,53.044,16.861,-1.524
160,4000,9571.582031,95.937,30.609,-0.006
160,6000,13979.007812,135.457,42.336,-0.005
160,8000,19379.933594,178.691,56.468,-0.000
160,2000,6244.960938,50.706,15.307,-1.432
160,4000,9721.226562,96.851,32.342,-0.004
160,6000,13477.871094,138.241,41.172,-0.005
160,8000,17400.570312,177.011,56.997,-0.001
200,2000,5369.464844,58.524,18.427,-8.638
200,4000,9468.808594,99.447,31.023,-0.013
200,6000,14137.398438,130.777,42.183,-0.010
200,8000,16270.667969,189.666,57.632,-0.001
200,2000,6284.582031,57.351,18.244,-0.025
200,4000,9870.175781,101.012,32.548,-0.012
200,6000,14718.460938,138.587,39.809,-0.010
200,8000,16971.117188,159.154,51.423,-0.005
240,2000,6106.769531,70.852,17.486,0.000
240,4000,9718.148438,94.437,25.639,-0.460
240,6000,13458.191406,136.078,42.266,-0.002
240,8000,16978.261719,183.526,57.678,-0.007
240,2000,5290.0,64.284,20.031,-0.000
240,4000,10744.5,100.867,31.601,-1.822
240,6000,11998.289062,143.365,45.591,-0.008
240,8000,17676.585938,183.722,56.130,-0.006
400,2000,5006.875,83.694,24.582,-0.003
400,4000,9098.414062,125.670,36.535,-0.010
400,6000,12674.496094,149.996,43.827,-0.002
400,8000,15306.914062,205.821,64.095,-0.011
400,2000,5046.210938,84.824,25.050,-1.634
400,4000,8775.65625,121.820,36.314,-0.007
400,6000,12416.09375,154.387,47.433,-0.003
400,8000,14765.667969,199.320,62.000,-0.011
